Planeta,Vx,Vy,Posx,Posy,Masa,R,G,B
Sol,-0.0,0.0,640.0,360.0,1.0,255,204,0
Mercurio,-205.4988389458617,987.9863651600401,677.051984221177,368.04826155155547,1.65e-07,169,169,169
Venus,413.0789053443029,-612.429666690076,699.9628184798622,400.4464227080391,2.45e-06,255,160,122
Tierra,-569.3676856614292,265.53888527149394,682.2557188989052,450.630778703665,3e-06,0,0,255
Marte,-491.7353979912382,123.13706737430637,676.7018848946924,507.8439598126736,3.21e-07,255,69,0
Júpiter,-3.370916031568959e-14,-275.5872240447981,120.34497150459367,360.00000000000006,0.000954,202,169,57
Saturno,143.61858661713737,-143.84431160508592,-33.31655826653446,-314.3748082854222,0.000286,210,180,140
Urano,143.36449696200776,-2.636353824167316e-14,639.9999999999997,-1559.1299999999999,4.37e-05,0,191,255
Neptuno,81.05941928522577,81.06347256018815,2766.0859970086804,-1766.1923092820184,5.15e-05,0,0,139
